timestamp,frame_number,scene_or_cue,typography_floor,legible_unclipped,single_focal,safe_margins,contrast_palette,scientific_specificity,motion_complete,transition_clean,semantic_alignment,technical_clean,total,verdict,animator_note
00:01:01.400,1842,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:01.412,1842,required defect pre-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:01.600,1848,scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:01.612,1848,narration cue boundary; required exact defect timestamp,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:01.800,1854,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:01.812,1854,required defect post-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:03.760,1913,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:05.000,1950,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:05.048,1951,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:08.200,2046,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:10.000,2100,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:10.340,2110,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:13.120,2194,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:14.767,2243,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:14.791,2244,required defect pre-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:14.967,2249,scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:14.991,2250,narration cue boundary; required exact defect timestamp,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:15.000,2250,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:15.167,2255,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:15.191,2256,required defect post-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:17.280,2318,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:20.000,2400,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:20.193,2406,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:22.556,2477,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:25.000,2550,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:25.520,2566,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:28.580,2657,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:30.000,2700,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:31.000,2730,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:33.733,2812,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:33.735,2812,required defect pre-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:33.933,2818,scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:33.935,2818,narration cue boundary; required exact defect timestamp,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:34.133,2824,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:34.135,2824,required defect post-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:35.000,2850,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:35.774,2873,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:38.920,2968,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:40.000,3000,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:42.920,3088,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:44.120,3124,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:45.000,3150,five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:45.572,3167,narration cue boundary,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:45.800,3174,pre-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:46.000,3180,scene transition,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:46.200,3186,post-transition bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:46.720,3202,required defect pre-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:46.920,3208,narration cue boundary; required exact defect timestamp,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:47.120,3214,required defect post-bracket,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:50.000,3300,final hold start; five-second cadence,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:51.000,3330,final hold midpoint,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
00:01:51.967,3359,final frame,1,1,1,1,1,1,1,1,1,1,10,ANIMATOR PASS — reviewer verification required,Full-resolution decoded frame included; independent Fable score pending.
