ordinal	timestamp_s	frame_number	typography_floor	legible_unclipped	single_focal	safe_balanced	contrast_palette	scientific_specificity	motion_complete	transition_clean	cue_alignment	technically_clean	total	verdict	note
41	68.044	2041	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
42	70.000	2100	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
43	72.113	2163	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 5 before
44	72.313	2169	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary; transition 5 exact
45	72.513	2175	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 5 after
46	74.700	2241	1	1	1	1	1	1	1	1	1	1	10	PASS	75.0s defect bracket before
47	75.000	2250	1	1	1	1	1	1	1	1	1	1	10	PASS	75.0s exact defect sample; five-second cadence
48	75.300	2259	1	1	1	1	1	1	1	1	1	1	10	PASS	75.0s defect bracket after
49	78.968	2369	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
50	79.700	2391	1	1	1	1	1	1	1	1	1	1	10	PASS	80.0s defect bracket before
51	80.000	2400	1	1	1	1	1	1	1	1	1	1	10	PASS	80.0s exact defect sample; five-second cadence
52	80.300	2409	1	1	1	1	1	1	1	1	1	1	10	PASS	80.0s defect bracket after
53	80.580	2417	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
54	82.159	2465	1	1	1	1	1	1	1	1	1	1	10	PASS	WebVTT cue boundary
55	83.700	2511	1	1	1	1	1	1	1	1	1	1	10	PASS	84.0s defect bracket before
56	84.000	2520	1	1	1	1	1	1	1	1	1	1	10	PASS	84.0s exact defect sample; candidate C fully opaque and separated from REFUSED
57	84.300	2529	1	1	1	1	1	1	1	1	1	1	10	PASS	84.0s defect bracket after
58	85.000	2550	1	1	1	1	1	1	1	1	1	1	10	PASS	five-second cadence
59	86.234	2587	1	1	1	1	1	1	1	1	1	1	10	PASS	transition 6 before
60	86.434	2593	1	1	1	1	1	0	1	1	1	1	9	PASS	WebVTT cue boundary; transition 6 exact
61	86.634	2599	1	1	1	1	1	0	1	1	1	1	9	PASS	transition 6 after
62	90.000	2700	1	1	1	1	1	0	1	1	1	1	9	PASS	five-second cadence
63	90.376	2711	1	1	1	1	1	0	1	1	1	1	9	PASS	final hold start
64	91.376	2741	1	1	1	1	1	0	1	1	1	1	9	PASS	final hold midpoint
65	92.200	2766	1	1	1	1	1	0	1	1	1	1	9	PASS	prior outro defect exact
66	92.366	2771	1	1	1	1	1	0	1	1	1	1	9	PASS	final frame sample
