index,word,start,end,start_time,end_time,confidence,sentence
179,measured,65.3,65.58,00:01:05.300,00:01:05.580,0.9657,17
180,observables,65.58,66.06,00:01:05.580,00:01:06.060,0.9964,17
181,anchor,66.06,66.32,00:01:06.060,00:01:06.320,0.987,17
182,an,66.32,66.5,00:01:06.320,00:01:06.500,0.979,17
183,environment,66.5,66.84,00:01:06.500,00:01:06.840,0.9424,17
184,error,66.84,67.18,00:01:06.840,00:01:07.180,0.8232,17
185,field,67.18,67.5,00:01:07.180,00:01:07.500,0.9987,17
186,Bulk,68.2,68.3,00:01:08.200,00:01:08.300,0.9608,18
187,coordination,68.3,68.64,00:01:08.300,00:01:08.640,0.9821,18
188,is,68.64,69.02,00:01:08.640,00:01:09.020,0.9992,18
189,fixed,69.02,69.26,00:01:09.020,00:01:09.260,0.9988,18
190,at,69.26,69.48,00:01:09.260,00:01:09.480,0.9952,18
191,zero,69.48,69.7,00:01:09.480,00:01:09.700,0.9794,18
192,error,69.7,70.02,00:01:09.700,00:01:10.020,0.9719,18
193,and,70.2,70.34,00:01:10.200,00:01:10.340,0.9967,18
194,a,70.34,70.42,00:01:10.340,00:01:10.420,0.7873,18
195,constrained,70.42,70.74,00:01:10.420,00:01:10.740,0.9419,18
196,curve,70.74,71.04,00:01:10.740,00:01:11.040,0.9989,18
197,predicts,71.04,71.36,00:01:11.040,00:01:11.360,0.9962,18
198,corrections,71.36,71.78,00:01:11.360,00:01:11.780,0.9905,18
199,for,71.78,72.04,00:01:11.780,00:01:12.040,0.9945,18
200,under-coordinated,72.04,72.68,00:01:12.040,00:01:12.680,0.7839,18
201,environments,72.68,73.12,00:01:12.680,00:01:13.120,0.9966,18
202,the,73.12,73.36,00:01:13.120,00:01:13.360,0.9951,18
203,field,73.36,73.56,00:01:13.360,00:01:13.560,0.9993,18
204,never,73.56,73.82,00:01:13.560,00:01:13.820,0.9993,18
205,directly,73.82,74.14,00:01:13.820,00:01:14.140,0.9981,18
206,saw,74.14,74.4,00:01:14.140,00:01:14.400,0.9991,18
207,Add,74.991,75.2,00:01:14.991,00:01:15.200,0.6571,19
208,that,75.2,75.36,00:01:15.200,00:01:15.360,0.9977,19
209,field,75.36,75.58,00:01:15.360,00:01:15.580,0.9985,19
210,at,75.58,75.78,00:01:15.580,00:01:15.780,0.9977,19
211,runtime,75.78,76.32,00:01:15.780,00:01:16.320,,19
212,and,76.32,76.46,00:01:16.320,00:01:16.460,0.9986,19
213,simulations,76.46,76.86,00:01:16.460,00:01:16.860,0.9937,19
214,follow,76.86,77.28,00:01:16.860,00:01:17.280,0.9985,19
215,corrected,77.28,77.6,00:01:17.280,00:01:17.600,0.9919,19
216,energies,77.6,78.0,00:01:17.600,00:01:18.000,0.994,19
217,and,78.0,78.24,00:01:18.000,00:01:18.240,0.9932,19
218,analytic,78.24,78.58,00:01:18.240,00:01:18.580,0.9891,19
219,forces—still,78.58,79.48,00:01:18.580,00:01:19.480,,19
220,about,79.48,79.7,00:01:19.480,00:01:19.700,0.9974,19
221,one,79.7,79.947,00:01:19.700,00:01:19.947,,19
222,hundred,79.947,80.193,00:01:19.947,00:01:20.193,,19
223,thousand,80.193,80.44,00:01:20.193,00:01:20.440,,19
224,times,80.44,80.7,00:01:20.440,00:01:20.700,0.9932,19
225,faster,80.7,80.96,00:01:20.700,00:01:20.960,0.9993,19
226,than,80.96,81.24,00:01:20.960,00:01:21.240,0.9976,19
227,quantum,81.24,81.46,00:01:21.240,00:01:21.460,0.9878,19
228,chemistry,81.46,81.92,00:01:21.460,00:01:21.920,0.9983,19
229,In,82.556,82.68,00:01:22.556,00:01:22.680,0.7072,20
230,blind,82.68,82.94,00:01:22.680,00:01:22.940,0.9653,20
231,tests,82.94,83.24,00:01:22.940,00:01:23.240,0.9711,20
232,across,83.24,83.54,00:01:23.240,00:01:23.540,0.9707,20
233,36,83.54,84.04,00:01:23.540,00:01:24.040,0.9675,20
234,model-material,84.04,84.66,00:01:24.040,00:01:24.660,,20
235,pairs,84.66,85.04,00:01:24.660,00:01:25.040,0.9988,20
236,predicted,85.32,85.52,00:01:25.320,00:01:25.520,0.9754,20
237,corrections,85.52,86.02,00:01:25.520,00:01:26.020,0.9932,20
238,correlated,86.02,86.4,00:01:26.020,00:01:26.400,0.9379,20
239,at,86.4,86.72,00:01:26.400,00:01:26.720,0.9967,20
240,zero,86.72,87.087,00:01:26.720,00:01:27.087,,20
241,point,87.087,87.454,00:01:27.087,00:01:27.454,,20
242,nine,87.454,87.822,00:01:27.454,00:01:27.822,,20
243,oh,87.822,88.189,00:01:27.822,00:01:28.189,,20
244,six,88.189,88.556,00:01:28.189,00:01:28.556,,20
245,Then,88.58,88.74,00:01:28.580,00:01:28.740,0.9822,21
246,77,88.74,89.24,00:01:28.740,00:01:29.240,0.9217,21
247,build-locked,89.24,89.58,00:01:29.240,00:01:29.580,,21
248,Lean,89.58,89.92,00:01:29.580,00:01:29.920,,21
249,4,89.92,90.26,00:01:29.920,00:01:30.260,,21
250,theorems,90.26,90.6,00:01:30.260,00:01:30.600,0.9796,21
251,mark,90.6,90.8,00:01:30.600,00:01:30.800,0.9815,21
252,what,90.8,91.0,00:01:30.800,00:01:31.000,0.9849,21
253,is,91.0,91.12,00:01:31.000,00:01:31.120,0.9969,21
254,supported,91.12,91.4,00:01:31.120,00:01:31.400,0.9967,21
255,out,91.64,91.76,00:01:31.640,00:01:31.760,0.9928,21
256,of,91.76,91.86,00:01:31.760,00:01:31.860,0.944,21
257,domain,91.86,92.16,00:01:31.860,00:01:32.160,0.9919,21
258,or,92.42,92.52,00:01:32.420,00:01:32.520,0.9982,21
259,synthesis-dependent,92.52,93.935,00:01:32.520,00:01:33.935,,21
260,So,93.935,94.08,00:01:33.935,00:01:34.080,0.9881,22
261,this,94.08,94.26,00:01:34.080,00:01:34.260,0.8991,22
262,is,94.26,94.42,00:01:34.260,00:01:34.420,0.998,22
263,bigger,94.42,94.58,00:01:34.420,00:01:34.580,0.997,22
264,than,94.58,94.82,00:01:34.580,00:01:34.820,0.9954,22
265,carbon,94.82,95.04,00:01:34.820,00:01:35.040,0.9806,22
266,One,95.774,95.94,00:01:35.774,00:01:35.940,0.9824,23
267,correction-and-verification,95.94,96.82,00:01:35.940,00:01:36.820,,23
268,layer,96.82,97.22,00:01:36.820,00:01:37.220,0.9973,23
269,can,97.22,97.42,00:01:37.220,00:01:37.420,0.9945,23
270,improve,97.42,97.74,00:01:37.420,00:01:37.740,0.9963,23
271,discovery,97.74,98.14,00:01:37.740,00:01:38.140,0.9916,23
272,across,98.14,98.42,00:01:38.140,00:01:38.420,0.9956,23
273,water,98.42,98.74,00:01:38.420,00:01:38.740,0.9846,23
274,air,98.92,99.12,00:01:38.920,00:01:39.120,0.9948,23
275,methane,99.36,99.6,00:01:39.360,00:01:39.600,0.9972,23
276,refrigerants,99.88,100.38,00:01:39.880,00:01:40.380,0.9929,23
277,minerals,100.62,100.88,00:01:40.620,00:01:40.880,0.9979,23
278,P-fass,100.88,101.82,00:01:40.880,00:01:41.820,,23
279,and,101.82,101.92,00:01:41.820,00:01:41.920,0.994,23
280,cement,101.92,102.16,00:01:41.920,00:01:42.160,0.9816,23
281,Measure,102.92,103.04,00:01:42.920,00:01:43.040,0.9829,24
282,the,103.04,103.26,00:01:43.040,00:01:43.260,0.9975,24
283,error,103.26,103.44,00:01:43.260,00:01:43.440,0.9521,24
284,Correct,104.12,104.36,00:01:44.120,00:01:44.360,0.9915,25
285,the,104.36,104.56,00:01:44.360,00:01:44.560,0.9954,25
286,physics,104.56,104.82,00:01:44.560,00:01:44.820,0.9908,25
287,Prove,105.572,105.78,00:01:45.572,00:01:45.780,0.9359,26
288,the,105.78,105.9,00:01:45.780,00:01:45.900,0.9994,26
289,boundary,105.9,106.18,00:01:45.900,00:01:46.180,0.9959,26
290,Then,106.92,107.06,00:01:46.920,00:01:47.060,0.9945,27
291,send,107.06,107.28,00:01:47.060,00:01:47.280,0.995,27
292,experiments,107.28,107.74,00:01:47.280,00:01:47.740,0.9982,27
293,the,107.74,107.94,00:01:47.740,00:01:47.940,0.8329,27
294,candidates,107.94,108.24,00:01:47.940,00:01:48.240,0.6627,27
295,actually,108.24,108.64,00:01:48.240,00:01:48.640,0.965,27
296,worth,108.64,108.9,00:01:48.640,00:01:48.900,0.9944,27
297,making,108.9,109.22,00:01:48.900,00:01:49.220,0.9974,27
